artist,endtime,starttime,timezone
Guster,--------,17:00:00,America/New_York
Jon Bon Jovi,--------,17:30:00,America/New_York
The Milk Carton Kids,20:10:00,19:40:00,America/New_York
Greensky Bluegrass,--------,20:00:00,America/Chicago
Best Coast,--------,18:00:00,America/Los_Angeles
Allen Stone,23:20:00,22:50:00,America/New_York
AWOLNATION,22:00:00,10:00:00,America/Los_Angeles
Aoife O'Donovan,14:05:00,13:35:00,America/New_York
LeAnn Rimes,--------,14:00:00,America/Los_Angeles
The Lone Bellow,18:40:00,18:10:00,America/New_York
Kaki King,21:00:00,15:00:00,America/New_York
Enslaved,--------,19:00:00,Europe/Oslo
Bad Religion,17:00:00,16:00:00,America/New_York
Frank Turner,--------,22:00:00,Europe/London
Syd,--------,17:00:00,America/Los_Angeles
Norman Brown,--------,20:00:00,America/New_York
Candlemass,--------,21:00:00,Europe/Stockholm
KT Tunstall,--------,12:00:00,America/Los_Angeles
Ellie Goulding,21:30:00,20:30:00,Europe/London
Drive-By Truckers,--------,18:00:00,America/Los_Angeles
From Ashes to New,--------,00:00:00,America/New_York
Metallica,--------,19:00:00,America/New_York
Hands Like Houses,23:00:00,20:00:00,Australia/Sydney
Gaelic Storm,22:00:00,17:00:00,America/New_York
Andy McKee,22:00:00,20:00:00,America/Chicago
Pete Yorn,--------,15:00:00,America/Los_Angeles
Cloudbusting - The Music Of Kate Bush,22:00:00,19:30:00,Europe/London
Tesla the Band,--------,17:00:00,America/New_York
Joe Bonamassa,--------,20:00:00,America/New_York
Matt Andersen,--------,19:00:00,America/Halifax
Mindi Abair,--------,19:00:00,America/Los_Angeles
The Black Dahlia Murder,--------,18:00:00,Europe/London
Chris Smither,16:50:00,16:20:00,America/New_York
Lindsay Ell,--------,17:30:00,America/Los_Angeles
Tigers Jaw,23:00:00,21:00:00,America/New_York
Fortunate Youth,20:00:00,18:00:00,America/Los_Angeles
Bowling for Soup,15:00:00,14:00:00,America/Chicago
Chatham County Line,21:30:00,20:00:00,America/New_York
Lisa Loeb,19:00:00,18:00:00,America/Los_Angeles
Seven Lions,--------,18:00:00,America/Los_Angeles
COLLABRO,--------,17:00:00,Europe/London
Teddy Thompson,12:35:00,12:05:00,America/New_York
SKERRYVORE,13:05:00,12:35:00,America/New_York
Steve Grand,--------,14:00:00,America/New_York
Slaid Cleaves,16:30:00,15:00:00,America/Chicago
John Fullbright,18:35:00,18:05:00,America/New_York
Noah Reid,--------,17:00:00,America/Los_Angeles
The Machine,21:00:00,20:00:00,America/New_York
Hayes Carll,20:00:00,18:00:00,America/Chicago
Ron Keel,--------,19:00:00,America/Chicago
Bad Religion,--------,18:00:00,America/Los_Angeles
Bowling for Soup,17:30:00,16:00:00,America/Chicago
Kiana Ledé,--------,17:00:00,America/Los_Angeles
Fantastic Negrito,13:30:00,13:00:00,America/Mexico_City
Little Mix,--------,20:00:00,Europe/London
Jon Pardi,21:30:00,19:00:00,America/Chicago
The Skids,21:30:00,20:00:00,Europe/London
LeAnn Rimes,--------,13:00:00,America/Los_Angeles
Aaron Lewis,--------,21:00:00,America/New_York
Chris Janson,22:00:00,20:00:00,America/Chicago
Tommy Emmanuel,--------,20:00:00,America/Chicago
The Word Alive,--------,18:30:00,America/Los_Angeles
Mary Gauthier,15:30:00,14:00:00,America/Chicago
John Hiatt,--------,20:00:00,America/New_York
Sara Evans,--------,19:00:00,America/Chicago
Ruthie Foster,--------,18:30:00,America/New_York
Tesla the Band,--------,19:00:00,America/New_York
Enslaved,--------,19:00:00,Europe/Berlin
Alan Doyle,--------,19:00:00,America/Halifax
hellogoodbye,20:00:00,18:00:00,America/Los_Angeles
Ward Davis,--------,20:00:00,America/Chicago
The Holdup,--------,19:00:00,America/Los_Angeles
Ringo Starr,--------,13:00:00,America/New_York
MC Frontalot,--------,14:00:00,America/Los_Angeles
The Wrecks,--------,16:00:00,America/Los_Angeles
The Spill Canvas,--------,01:00:00,Europe/London
Mo Pitney,--------,20:00:00,America/Chicago
Small Town Titans,--------,21:00:00,America/New_York
We Banjo 3,22:05:00,21:35:00,America/New_York
Francois Van Coke,--------,18:00:00,Africa/Johannesburg
Mary Gauthier,15:30:00,14:30:00,America/Chicago
Gangstagrass,20:25:00,19:55:00,America/New_York
Rachael & Vilray,--------,20:00:00,America/New_York
Steve Wariner,--------,19:00:00,America/Chicago
Antonio Sanchez,--------,18:00:00,America/New_York
Max Frost,20:00:00,19:00:00,America/Chicago
Ally Venable Band,22:00:00,20:00:00,America/Chicago
Scarypoolparty,--------,18:00:00,America/Los_Angeles
Lilly Hiatt,22:00:00,20:30:00,America/Chicago
The Black Moods,--------,19:00:00,America/Phoenix
Erja Lyytinen,--------,16:00:00,Europe/Helsinki
Hue & Cry,21:00:00,19:30:00,Europe/London
Face Vocal Band,--------,19:30:00,America/Denver
Mary Gauthier,15:30:00,14:00:00,America/Chicago
Carrie Newcomer,--------,19:00:00,America/New_York
The Reverend Peyton's Big Damn Band,19:30:00,16:30:00,America/Los_Angeles
The Score,--------,12:00:00,America/Los_Angeles
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
J.R. Richards,19:15:00,18:30:00,America/New_York
Idles,13:00:00,12:00:00,Europe/London
New Hope Club,--------,16:00:00,Europe/London
Jon Langston,--------,18:00:00,America/Chicago
Anthony Evans,20:30:00,17:00:00,America/Chicago
Joel Plaskett,22:30:00,20:00:00,America/Halifax
Sub Urban,--------,12:00:00,America/Los_Angeles
Aubrey Logan,20:00:00,19:00:00,America/Chicago
Devon Gilfillian,21:20:00,20:50:00,America/New_York
...And You Will Know Us By The Trail Of Dead,--------,20:00:00,America/Chicago
The Lancashire Hotpots,22:00:00,20:00:00,Europe/London
Trixie Mattel,21:00:00,20:30:00,America/New_York
The Fab Four,19:00:00,18:00:00,America/Los_Angeles
Kris Drever,13:05:00,12:35:00,America/New_York
Birds of Chicago,14:50:00,14:20:00,America/New_York
Jeffrey Gaines,20:50:00,20:00:00,America/New_York
Maggie Rose,21:00:00,20:00:00,America/Chicago
Della Mae,21:00:00,20:00:00,America/New_York
Erasure,--------,15:00:00,America/New_York
Cam,--------,20:00:00,Africa/Malabo
YOSHIKI,--------,20:30:00,Asia/Tokyo
Wallows,--------,19:00:00,America/New_York
Papadosio,21:00:00,20:00:00,America/New_York
Bill Callahan,--------,23:00:00,Europe/London
Dan Zanes,--------,19:00:00,America/New_York
EVAN + ZANE,21:00:00,18:00:00,America/Los_Angeles
Richie Furay,22:00:00,21:00:00,America/New_York
Jon McLaughlin,20:45:00,20:00:00,America/Chicago
Giant Rooks,23:00:00,21:00:00,Europe/Paris
The Cassandra Complex,21:00:00,18:00:00,Europe/London
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Drive-By Truckers,--------,18:00:00,America/Los_Angeles
Aaron Lewis,--------,21:00:00,America/New_York
Bad Bad Hats,21:00:00,20:00:00,America/Chicago
Patti Smith,--------,21:00:00,Europe/London
Sara Evans,--------,14:00:00,America/Chicago
Soraia,--------,20:00:00,America/New_York
Heart of a Coward,22:30:00,21:00:00,Europe/London
Wallows,--------,19:00:00,Europe/London
Skip Ewing,--------,19:30:00,America/Chicago
GO NOW!,--------,20:00:00,Europe/London
Mad Dog Mcrea,--------,20:00:00,Europe/London
Robyn Hitchcock,--------,20:00:00,Europe/London
Sofi Tukker,--------,15:00:00,America/New_York
Amanda Shires,--------,18:00:00,America/New_York
Melissa Etheridge,--------,15:00:00,America/Los_Angeles
Alex Williams,--------,19:00:00,America/New_York
Beat Root Revival,20:30:00,19:00:00,America/Chicago
